q_dot_occ,q_dot_ac,q_dot_vent,q_dot_solar,T_amb,T_b,Phi
20.8,40,41.23,45.2,6.2,14.79,0.25
0,40,0,5.2,5.2,22.43,0.25
20.8,40,44.13,0,4.4,13.59,0.25
20.8,40,45.41,0,3.6,13.06,0.25
20.8,40,46.04,0,3.2,12.79,0.25
20.8,40,46.51,0,2.9,12.59,0.25
0,40,0,0,2.6,22.43,0.25
0,40,0,0,1.8,22.43,0.25
0,40,0,0,1.7,22.43,0.25
0,40,0,0,1.9,22.43,0.25
0,40,0,0,2,22.43,0.25
0,40,0,0,2.1,22.43,0.25
0,40,0,0,2.4,22.43,0.25
0,40,0,0,2.7,22.43,0.25
0,40,0,0,2.7,22.43,0.18
0,40,0,0,2.9,22.43,0.18
20.8,40,46.04,0,3.2,12.79,0.18
20.8,40,46.04,0.2,3.2,12.79,0.18
20.8,40,45.41,6.1,3.6,13.06,0.18
20.8,40,43.17,16.7,5,13.99,0.18
0,40,0,24.6,6,22.44,0.18
20.8,40,39.75,27.9,7.1,15.38,0.18
20.8,40,39.91,26.6,7,15.32,0.25
20.8,40,39.25,21.3,7.4,15.58,0.25
20.8,40,38.75,11.6,7.7,15.77,0.25
0,40,0,2.6,7.7,22.44,0.25
20.8,40,39.08,0,7.5,15.64,0.25
20.8,40,38.59,0,7.8,15.84,0.25
20.8,40,38.59,0,7.8,15.84,0.25
20.8,40,38.59,0,7.8,15.84,0.25
0,40,0,0,7.3,22.44,0.25
0,40,0,0,7.2,22.44,0.25
0,40,0,0,6.8,22.43,0.25
0,40,0,0,7.7,22.44,0.25
0,40,0,0,8.2,22.44,0.25
0,40,0,0,8.3,22.44,0.25
0,40,0,0,8.4,22.44,0.25
0,40,0,0,7.6,22.44,0.18
0,40,0,0,7.3,22.44,0.18
0,40,0,0,7.3,22.44,0.18
20.8,40,39.91,0,7,15.31,0.18
20.8,40,40.24,0,6.8,15.18,0.18
20.8,40,40.4,2.6,6.7,15.12,0.18
20.8,40,40.4,8,6.7,15.12,0.18
0,40,0,12.2,6.6,22.43,0.18
20.8,40,39.91,28.2,7,15.31,0.25
20.8,40,39.25,26.8,7.4,15.58,0.25
20.8,40,39.42,21.6,7.3,15.51,0.25
20.8,40,40.24,12.1,6.8,15.18,0.25
0,40,0,3.3,6,22.43,0.25
20.8,40,42.04,0,5.7,14.46,0.25
20.8,40,42.52,0,5.4,14.26,0.25
20.8,40,43.33,0,4.9,13.93,0.25
20.8,40,43.65,0,4.7,13.79,0.25
0,40,0,0,3.8,22.43,0.25
0,40,0,0,3.3,22.43,0.25
0,40,0,0,3.3,22.43,0.25
0,40,0,0,2.1,22.43,0.25
0,40,0,0,2.5,22.43,0.25
0,40,0,0,2.4,22.43,0.25
0,40,0,0,1.9,22.43,0.18
0,40,0,0,2.6,22.43,0.18
0,40,0,0,2.4,22.43,0.18
0,40,0,0,2.3,22.43,0.18
20.8,40,46.98,0,2.6,12.39,0.18
20.8,40,46.67,0.2,2.8,12.52,0.18
20.8,40,45.73,6.3,3.4,12.93,0.18
20.8,40,44.93,17.2,3.9,13.26,0.18
0,40,0,25.1,4.5,22.43,0.25
20.8,40,42.85,64.3,5.2,14.13,0.25
20.8,40,41.88,56.4,5.8,14.52,0.25
20.8,40,41.55,35.3,6,14.66,0.25
20.8,40,41.39,12.3,6.1,14.72,0.25
0,40,0,1.6,6.2,22.43,0.25
20.8,40,40.73,0,6.5,14.99,0.25
20.8,40,41.22,0,6.2,14.79,0.25
20.8,40,41.06,0,6.3,14.85,0.25
20.8,40,41.06,0,6.3,14.85,0.25
0,40,0,0,7.1,22.44,0.25
0,40,0,0,7.2,22.44,0.25
0,40,0,0,7.9,22.44,0.25
0,40,0,0,8.2,22.44,0.25
0,40,0,0,8.3,22.44,0.25
0,40,0,0,8.5,22.44,0.18
0,40,0,0,9,22.44,0.18
0,40,0,0,9,22.44,0.18
0,40,0,0,9,22.44,0.18
0,40,0,0,8.8,22.44,0.18
20.8,40,36.08,0,9.3,16.82,0.18
20.8,40,36.42,0.2,9.1,16.69,0.18
20.8,40,37.59,18.2,8.4,16.23,0.18
20.8,40,37.26,49.4,8.6,16.36,0.25
0,40,0,67.7,9,22.44,0.25
20.8,40,36.93,64.9,8.8,16.49,0.25
20.8,40,37.26,46.2,8.6,16.36,0.25
20.8,40,37.59,22.6,8.4,16.23,0.25
20.8,40,38.26,30.5,8,15.97,0.25
0,40,0,7,8,22.44,0.25
20.8,40,39.58,0,7.2,15.45,0.25
20.8,40,40.73,0,6.5,14.99,0.25
20.8,40,40.07,0,6.9,15.25,0.25
20.8,40,41.22,0,6.2,14.79,0.25
0,40,0,0,6.6,22.43,0.25
0,40,0,0,5.5,22.43,0.25
0,40,0,0,5.5,22.43,0.25
0,40,0,0,5.5,22.43,0.25
0,40,0,0,5,22.43,0.18
