q_dot_occ (kW),q_dot_ac (kW),q_dot_vent (kW),q_dot_solar (kW),T_amb (°C),T_b (°C),Phi (Eur/KWh)
20.8,40,17.89216,0,2.9,23.73363537,0.25
0,40,0,0,2.6,22.19184135,0.25
0,40,0,0,1.8,21.45912968,0.25
0,40,0,0,1.7,21.1651976,0.25
0,40,0,0,1.9,21.28750883,0.25
0,40,0,0,2,21.40995477,0.25
0,40,0,0,2.1,21.36282284,0.25
0,40,0,0,2.4,21.53829501,0.25
0,40,0,0,2.7,21.87393663,0.25
0,40,0,0,2.7,21.84268756,0.18
0,40,0,0,2.9,22.10348247,0.18
20.8,40,17.64928,0,3.2,23.37595623,0.18
20.8,40,17.64928,0.386420765,3.2,23.88476599,0.18
20.8,40,17.32544,10.12306081,3.6,24.71470141,0.18
20.8,40,16.192,27.85073481,5,26.70444578,0.18
0,40,0,41.01080763,6,27.07956273,0.18
20.8,40,14.49184,46.46718756,7.1,30.46953021,0.18
20.8,40,14.5728,44.41000791,7,30.90178761,0.25
20.8,40,14.24896,35.5617355,7.4,30.96340982,0.25
20.8,40,14.00608,19.31192666,7.7,30.65257679,0.25
0,40,0,4.281462327,7.7,27.76771557,0.25
20.8,40,14.168,0,7.5,29.34400225,0.25
20.8,40,13.92512,0,7.8,30.06297165,0.25
20.8,40,13.92512,0,7.8,29.91846022,0.25
20.8,40,13.92512,0,7.8,29.84916144,0.25
0,40,0,0,7.3,26.91730374,0.25
0,40,0,0,7.2,26.2550023,0.25
0,40,0,0,6.8,25.9445867,0.25
0,40,0,0,7.7,26.35518189,0.25
0,40,0,0,8.2,26.72048727,0.25
0,40,0,0,8.3,26.9416821,0.25
0,40,0,0,8.4,27.16554314,0.25
0,40,0,0,7.6,26.69463055,0.18
0,40,0,0,7.3,26.3732686,0.18
0,40,0,0,7.3,26.32849558,0.18
20.8,40,14.5728,0,7,28.70432387,0.18
20.8,40,14.73472,0,6.8,29.5949504,0.18
20.8,40,14.81568,4.300200644,6.7,30.01642535,0.18
20.8,40,14.81568,13.30817576,6.7,30.43012747,0.18
0,40,0,20.41297973,6.6,28.74632543,0.18
20.8,40,14.5728,47.01270299,7,32.19637979,0.25
20.8,40,14.24896,44.66362947,7.4,33.49520337,0.25
20.8,40,14.32992,35.95238709,7.3,33.37590093,0.25
20.8,40,14.73472,20.14331384,6.8,32.30203419,0.25
0,40,0,5.454216061,6,28.79628116,0.25
20.8,40,15.62528,0,5.7,29.32441009,0.25
20.8,40,15.86816,0,5.4,28.98964079,0.25
20.8,40,16.27296,0,4.9,28.62769081,0.25
20.8,40,16.43488,0,4.7,27.87316841,0.25
0,40,0,0,3.8,25.32246703,0.25
0,40,0,0,3.3,24.28908376,0.25
0,40,0,0,3.3,23.93676627,0.25
0,40,0,0,2.1,25.76241973,0.25
0,40,0,0,2.5,24.66629387,0.25
0,40,0,0,2.4,23.75305105,0.25
0,40,0,0,1.9,23.08800212,0.18
0,40,0,0,2.6,22.61410031,0.18
0,40,0,0,2.4,22.43621842,0.18
0,40,0,0,2.3,22.20163526,0.18
20.8,40,18.13504,0,2.6,23.57141716,0.18
20.8,40,17.97312,0.386444562,2.8,23.79394433,0.18
20.8,40,17.48736,10.52920057,3.4,24.71368136,0.18
20.8,40,17.08256,28.62359325,3.9,26.12172761,0.18
0,40,0,41.78695019,4.5,25.8051487,0.25
20.8,40,16.03008,107.1162966,5.2,31.04062882,0.25
20.8,40,15.54432,93.95101189,5.8,32.27113151,0.25
20.8,40,15.3824,58.76643501,6,31.2701592,0.25
20.8,40,15.30144,20.54444691,6.1,29.60693252,0.25
0,40,0,2.720871681,6.2,26.20673896,0.25
20.8,40,14.9776,0,6.5,27.5711857,0.25
20.8,40,15.22048,0,6.2,27.47289507,0.25
20.8,40,15.13952,0,6.3,27.33687545,0.25
20.8,40,15.13952,0,6.3,27.43163477,0.25
0,40,0,0,7.1,26.04121673,0.25
0,40,0,0,7.2,26.0663441,0.25
0,40,0,0,7.9,26.63884772,0.25
0,40,0,0,8.2,26.94233843,0.25
0,40,0,0,8.3,27.05332433,0.25
0,40,0,0,8.5,27.26619722,0.18
0,40,0,0,9,27.58933999,0.18
0,40,0,0,9,27.69344518,0.18
0,40,0,0,9,27.76411073,0.18
0,40,0,0,8.8,27.69707199,0.18
20.8,40,12.71072,0,9.3,30.84474503,0.18
20.8,40,12.87264,0.386457497,9.1,31.22184917,0.18
20.8,40,13.43936,30.26291503,8.4,31.47692825,0.18
20.8,40,13.27744,82.41394625,8.6,33.64353376,0.25
0,40,0,112.8584285,9,32.63462535,0.25
20.8,40,13.11552,108.1223298,8.8,34.88320718,0.25
20.8,40,13.27744,77.00269079,8.6,34.86697543,0.25
20.8,40,13.43936,37.74788344,8.4,33.19597093,0.25
20.8,40,13.7632,50.8296996,8,32.65724646,0.25
0,40,0,11.59944584,8,29.3006762,0.25
20.8,40,14.41088,0,7.2,30.16827111,0.25
20.8,40,14.9776,0,6.5,29.28254709,0.25
20.8,40,14.65376,0,6.9,29.42843359,0.25
20.8,40,15.22048,0,6.2,29.23889552,0.25
0,40,0,0,6.6,26.72475478,0.25
0,40,0,0,5.5,25.60797619,0.25
0,40,0,0,5.5,25.15908413,0.25
0,40,0,0,5.5,25.1133006,0.25
0,40,0,0,5,25.14545514,0.18
0,40,0,0,4.3,24.92595572,0.18
0,40,0,0,3.8,24.52874117,0.18
0,40,0,0,4.3,24.34485705,0.18
0,40,0,0,5,24.41972,0.18
0,40,0,0,4.8,24.24353416,0.18
20.8,40,16.27296,0,4.9,26.04590241,0.18
20.8,40,16.92064,0.772942244,4.1,25.82453966,0.18
20.8,40,16.67776,11.57040474,4.4,26.13693628,0.25
20.8,40,16.35392,82.43259992,4.8,28.94892997,0.25
0,40,0,119.8331775,5.3,29.91988655,0.25
20.8,40,15.22048,109.3840316,6.2,32.5693922,0.25
20.8,40,15.05856,48.74347234,6.4,31.15043408,0.25
